animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
A668530,,Dog,Aggressive,Intact Female,2 years
A668575,Zoey Beth,Cat,Suffering,Intact Female,9 months
A668586,Marley,Dog,Aggressive,Spayed Female,1 year
A668626,,Dog,Suffering,Intact Male,3 years
A668631,,Dog,Suffering,Intact Male,1 year
A668632,,Dog,Suffering,Intact Female,3 years
A668674,*Ernie,Dog,Aggressive,Neutered Male,8 months
A668675,*Bert,Dog,Aggressive,Neutered Male,8 months
A668726,,Cat,Suffering,Intact Female,1 year
A668802,,Dog,Suffering,Intact Male,5 weeks
A668822,,Cat,Suffering,Unknown,5 months
A668893,Axel,Dog,Aggressive,Neutered Male,2 years
A668912,Bella,Dog,Aggressive,Spayed Female,3 years
A668954,,Cat,Suffering,Unknown,1 month
A668972,Mufasa,Dog,Rabies Risk,Intact Male,4 years
A668981,Rudolph,Cat,Suffering,Intact Male,12 years
A669066,,Dog,Medical,Intact Female,3 years
A669086,,Cat,Suffering,Intact Male,2 years
A669105,*Roscoe,Dog,Aggressive,Neutered Male,2 years
A669130,Benjaman,Dog,Aggressive,Neutered Male,5 years
A669133,*Q,Dog,Aggressive,Neutered Male,4 years
A669158,,Cat,Suffering,Intact Female,4 years
A669195,Mimi,Dog,Suffering,Intact Female,12 years
A669212,,Cat,Suffering,Intact Male,4 months
A669240,,Dog,Aggressive,Intact Male,4 years
A669308,,Dog,Suffering,Intact Female,2 months
A669326,Turbo,Cat,Suffering,Intact Male,1 year
A669367,Tabbie,Cat,Suffering,Neutered Male,18 years
A669371,Mickey,Cat,Suffering,Neutered Male,9 years
A669403,,Cat,Suffering,Intact Female,2 months
A669416,Espana,Dog,Aggressive,Spayed Female,1 year
A669450,,Cat,Rabies Risk,Unknown,1 month
A669461,Kahlua,Dog,Suffering,Intact Female,13 years
A669485,Shades,Dog,Aggressive,Intact Male,2 years
A669535,*Malachi,Dog,Aggressive,Neutered Male,5 years
A669550,,Cat,Suffering,Intact Female,15 years
A669556,,Cat,Suffering,Intact Female,1 month
A669561,,Dog,Suffering,Intact Male,5 years
A669563,Killer,Dog,Suffering,Intact Male,2 years
A669576,,Cat,Suffering,Intact Female,8 years
A669580,Biscuit,Dog,Suffering,Spayed Female,13 years
A669603,*Gimpy Cb,Cat,Suffering,Intact Female,4 months
A669640,Sissy,Dog,Court/Investigation,Intact Female,1 year
A669645,Cookie,Dog,Aggressive,Intact Female,5 months
A669646,Beagle,Dog,Aggressive,Intact Female,1 year
A669667,,Dog,Suffering,Intact Female,2 years
A669711,Napoleon,Dog,Suffering,Intact Male,17 years
A669728,Mellow,Cat,Suffering,Spayed Female,13 years
A669749,*Boxer,Dog,Aggressive,Neutered Male,2 years
A669784,*Precious,Dog,Aggressive,Intact Female,1 year
A669785,,Cat,Suffering,Intact Male,2 years
A669811,Quico Kico,Dog,Suffering,Neutered Male,7 years
A669839,Aurora,Dog,Suffering,Spayed Female,4 years
A669859,*Mack,Dog,Behavior,Intact Male,2 years
A669880,,Cat,Suffering,Intact Female,10 years
A669884,,Cat,Suffering,Unknown,6 months
A669925,Tugga,Cat,Suffering,Neutered Male,2 years
A669934,Cookie,Dog,Aggressive,Intact Female,2 years
A669960,*Fiona,Dog,Aggressive,Intact Female,3 years
A669966,,Cat,Suffering,Intact Female,8 months
A669977,*Zeppo,Dog,Rabies Risk,Neutered Male,1 year
A670009,Delilah,Dog,Rabies Risk,Spayed Female,3 years
A670044,,Cat,Suffering,Intact Male,3 years
A670085,,Cat,Rabies Risk,Intact Male,5 years
A670092,,Dog,Suffering,Intact Female,5 years
A670195,,Cat,Suffering,Intact Female,2 years
A670218,,Dog,Suffering,Intact Female,10 months
A670260,,Dog,Suffering,Intact Female,12 years
A670285,,Dog,Behavior,Intact Male,2 years
A670308,,Dog,Rabies Risk,Intact Female,2 years
A670310,*Toney,Cat,Suffering,Intact Male,4 months
A670328,,Cat,Suffering,Neutered Male,1 year
A670331,,Dog,Aggressive,Intact Female,2 years
A670347,Ottis,Dog,Suffering,Intact Male,13 years
A670354,Buddy,Dog,Suffering,Intact Male,2 years
A670358,,Dog,Suffering,Intact Male,2 years
A670388,,Cat,Suffering,Neutered Male,12 years
A670417,Spot,Dog,Rabies Risk,Neutered Male,5 years
A670460,,Dog,Suffering,Intact Female,1 year
A670468,Cat 1,Cat,Suffering,Spayed Female,3 years
A670477,*Mika,Dog,Aggressive,Spayed Female,1 year
A670518,Paloma,Dog,Suffering,Intact Female,15 years
A670578,,Cat,Suffering,Intact Female,5 years
A670595,Grace,Dog,Suffering,Intact Female,16 years
A670631,,Dog,Behavior,Intact Female,1 year
A670632,,Cat,Suffering,Intact Male,1 year
A670655,Brick,Dog,Behavior,Neutered Male,4 years
A670685,,Cat,Suffering,Intact Male,3 months
A670698,Nestle,Cat,Medical,Spayed Female,3 years
A670727,,Dog,Suffering,Intact Male,4 weeks
A670760,,Dog,Suffering,Intact Male,1 month
A670765,,Dog,Suffering,Intact Female,12 years
A670821,Dekota,Dog,Aggressive,Spayed Female,4 years
A670923,Kayna,Dog,Behavior,Spayed Female,1 year
A670925,Charlie,Dog,Aggressive,Neutered Male,2 years
A670952,Tiger,Dog,Aggressive,Neutered Male,8 years
A670980,,Dog,Suffering,Intact Male,6 months
A671024,,Cat,Suffering,Intact Female,1 year
A671059,,Cat,Suffering,Intact Female,5 weeks
A671060,*Jimmy,Cat,Suffering,Intact Male,1 month
A671063,*Jake,Cat,Suffering,Intact Male,1 month
A671157,,Cat,Suffering,Intact Female,6 months
A671161,Cash,Dog,Aggressive,Neutered Male,2 years
A671169,,Cat,Suffering,Intact Female,18 years
A671187,,Dog,Suffering,Intact Male,1 year
A671227,*Doodlebug,Dog,Suffering,Intact Male,9 years
A671248,,Dog,Suffering,Intact Female,2 years
A671289,,Cat,Suffering,Intact Male,2 years
A671344,,Dog,Rabies Risk,Intact Male,2 years
A671345,Miles,Cat,Suffering,Neutered Male,15 years
A671380,,Dog,Suffering,Neutered Male,10 years
A671383,Cj,Cat,Suffering,Neutered Male,3 years
A671439,Faith,Dog,Suffering,Spayed Female,14 years
A671452,*Rainer,Dog,Aggressive,Neutered Male,2 years
A671469,,Cat,Medical,Intact Male,3 days
A671474,Princess,Dog,Aggressive,Spayed Female,6 years
A671478,Buddy,Dog,Aggressive,Neutered Male,2 years
A671488,Whiskers,Cat,Suffering,Spayed Female,20 years
A671541,Buddy,Dog,Suffering,Neutered Male,10 years
A671547,*Shelby,Dog,Aggressive,Spayed Female,2 years
A671623,,Cat,Suffering,Intact Male,10 years
A671636,Rocky,Dog,Aggressive,Neutered Male,3 years
A671639,,Dog,Suffering,Intact Female,2 years
A671687,,Dog,Suffering,Spayed Female,13 years
A671706,,Dog,Aggressive,Intact Female,2 years
A671869,,Cat,Suffering,Intact Male,4 years
A671877,Kinda,Dog,Medical,Intact Female,6 years
A671913,*Joe,Dog,Rabies Risk,Neutered Male,1 year
A671944,,Cat,Suffering,Intact Female,5 months
A672007,Maite,Dog,Suffering,Intact Female,2 months
A672075,,Cat,Suffering,Intact Male,4 years
A672091,,Dog,Suffering,Intact Female,2 years
A672128,Bentley,Dog,Aggressive,Neutered Male,6 years
A672193,*Hickory,Cat,Medical,Neutered Male,4 months
A672198,*Teddy,Dog,Suffering,Intact Male,6 years
A672209,,Dog,Suffering,Intact Female,1 year
A672210,Cochise,Dog,Behavior,Intact Female,2 years
A672243,,Cat,Suffering,Intact Male,1 year
A672271,,Dog,Rabies Risk,Intact Male,10 years
A672353,Abby,Dog,Suffering,Intact Female,13 years
A672354,,Cat,Suffering,Unknown,10 years
A672383,Yayo,Dog,Aggressive,Intact Male,1 year
A672409,Bruce,Dog,Rabies Risk,Neutered Male,3 years
A672449,,Dog,Behavior,Intact Male,1 year
A672492,*Ray,Dog,Aggressive,Neutered Male,3 years
A672497,Lady,Dog,Behavior,Spayed Female,1 year
A672533,,Dog,Suffering,Intact Male,4 years
A672542,Levi,Dog,Aggressive,Neutered Male,5 years
A672570,,Cat,Suffering,Intact Female,1 year
A672585,,Cat,Suffering,Intact Male,1 year
A672589,,Cat,Suffering,Neutered Male,10 years
A672601,,Dog,Suffering,Intact Female,2 months
A672612,,Cat,Suffering,Intact Male,2 years
A672654,Trippy,Dog,Suffering,Intact Male,6 years
A672694,,Cat,Suffering,Neutered Male,3 years
A672702,,Dog,Suffering,Intact Female,3 months
A672744,Oso,Dog,Aggressive,Intact Male,3 years
A672745,*Dottie,Dog,Behavior,Spayed Female,2 years
A672777,Snoopy,Cat,Suffering,Neutered Male,15 years
A672970,Calliope,Cat,Rabies Risk,Spayed Female,11 years
A672982,King,Dog,Aggressive,Neutered Male,3 years
A673000,,Dog,Rabies Risk,Intact Male,1 year
A673005,Bella,Dog,Aggressive,Spayed Female,2 years
A673191,Max,Dog,Rabies Risk,Intact Male,3 years
A673215,,Cat,Suffering,Intact Female,2 years
A673223,,Dog,Suffering,Intact Female,10 years
A673245,Brownie,Dog,Aggressive,Spayed Female,3 years
A673262,Bonnie P.,Dog,Suffering,Intact Female,6 months
A673275,Prince,Dog,Aggressive,Intact Male,3 years
A673319,Coco,Dog,Behavior,Spayed Female,3 years
A673352,,Cat,Suffering,Intact Female,1 year
A673359,,Dog,Rabies Risk,Intact Female,2 months
A673391,,Dog,Suffering,Intact Male,13 years
A673394,Maya,Dog,Suffering,Spayed Female,5 years
A673422,Cujo,Dog,Aggressive,Intact Male,1 year
A673436,Lucky,Dog,Aggressive,Neutered Male,4 years
A673466,*Guinness,Dog,Aggressive,Neutered Male,4 years
A673497,,Cat,Suffering,Intact Male,1 year
A673501,Cassandra,Dog,Suffering,Spayed Female,1 year
A673506,*Briggs,Dog,Behavior,Intact Male,3 years
A673526,,Cat,Suffering,Intact Female,8 years
A673540,Doc,Dog,Aggressive,Neutered Male,7 years
A673557,Oscar,Dog,Suffering,Intact Male,5 months
A673564,,Cat,Suffering,Intact Female,1 year
A673571,,Dog,Suffering,Intact Male,2 years
A673596,Charlie,Dog,Suffering,Neutered Male,15 years
A673611,Blackie,Dog,Aggressive,Intact Male,2 years
A673670,Lola,Dog,Aggressive,Spayed Female,1 year
A673693,,Cat,Suffering,Intact Female,8 years
A673709,,Cat,Suffering,Unknown,1 year
A673761,*Esme,Dog,Behavior,Intact Female,4 years
A673771,Dub,Dog,Suffering,Neutered Male,2 years
A673774,Charlie,Dog,Aggressive,Neutered Male,5 years
A673810,Callie,Dog,Aggressive,Spayed Female,10 months
A673830,*Seth,Dog,Aggressive,Neutered Male,2 years
A673851,*Lily,Dog,Aggressive,Spayed Female,1 year
A673912,*Edward,Dog,Behavior,Intact Male,3 years
A673935,,Cat,Suffering,Spayed Female,2 years
A673944,,Cat,Suffering,Neutered Male,4 years
A673947,*Baby,Dog,Suffering,Intact Female,3 years
A673970,,Cat,Suffering,Intact Male,1 year
A674042,Rocko,Dog,Aggressive,Neutered Male,4 years
A674072,*Jacob,Dog,Rabies Risk,Intact Male,2 years
A674093,,Dog,Suffering,Intact Male,10 years
A674096,,Cat,Suffering,Intact Male,2 years
A674141,Zak,Dog,Behavior,Neutered Male,2 years
A674150,Angel,Dog,Suffering,Intact Female,9 years
A674158,Zoey,Dog,Aggressive,Spayed Female,1 year
A674160,Mya,Cat,Suffering,Spayed Female,10 years
A674162,Marley,Dog,Aggressive,Neutered Male,4 years
A674210,,Cat,Suffering,Intact Male,2 years
A674216,*Akhom,Dog,Behavior,Neutered Male,2 years
A674236,*Renee,Dog,Medical,Intact Female,10 years
A674347,,Dog,Aggressive,Intact Male,1 year
A674402,*Delilah,Dog,Behavior,Intact Female,1 year
A674425,Amy,Dog,Suffering,Spayed Female,8 years
A674455,Calypso,Dog,Behavior,Spayed Female,3 years
A674472,,Cat,Aggressive,Unknown,3 years
A674476,*Fiona,Cat,Suffering,Intact Female,3 years
A674489,Boo,Dog,Aggressive,Spayed Female,2 years
A674490,Princess,Dog,Behavior,Spayed Female,11 months
A674506,,Dog,Suffering,Intact Male,4 years
A674511,Lady,Dog,Aggressive,Spayed Female,2 years
A674518,Scooter,Cat,Suffering,Spayed Female,14 years
A674550,Chico,Dog,Rabies Risk,Neutered Male,1 year
A674568,Porkchop,Dog,Aggressive,Intact Male,3 years
A674601,*Sheila,Dog,Suffering,Intact Female,2 months
A674628,,Dog,Aggressive,Intact Female,2 years
A674656,,Dog,Suffering,Intact Female,7 years
A674659,,Dog,Aggressive,Intact Male,2 years
A674702,,Dog,Suffering,Intact Male,3 years
A674708,Lucky,Dog,Behavior,Neutered Male,2 years
A674746,Toby,Dog,Suffering,Neutered Male,3 years
A674783,Yogi,Dog,Suffering,Neutered Male,10 years
A674847,Chichio,Dog,Aggressive,Neutered Male,4 years
A674873,,Cat,Suffering,Intact Female,1 year
A674902,,Dog,Suffering,Intact Female,5 months
A674998,Buttercup,Cat,Suffering,Spayed Female,4 years
A675021,,Cat,Suffering,Intact Female,1 year
A675038,Coco,Dog,Aggressive,Intact Female,2 years
A675069,*Spring,Cat,Suffering,Spayed Female,10 years
A675072,Kelly,Cat,Suffering,Spayed Female,9 years
A675120,,Dog,Aggressive,Intact Female,1 year
A675125,,Cat,Suffering,Intact Female,1 year
A675145,,Cat,Suffering,Unknown,2 years
A675159,Barbie,Dog,Suffering,Intact Female,3 years
A675163,,Cat,Suffering,Intact Male,2 years
A675166,,Cat,Suffering,Intact Male,3 years
A675215,Benjamin,Dog,Behavior,Neutered Male,2 years
A675288,,Dog,Suffering,Intact Female,8 years
A675299,Cosmo,Cat,Suffering,Intact Female,5 years
A675305,,Cat,Suffering,Unknown,2 years
A675337,Princess,Dog,Aggressive,Intact Female,8 years
A675338,*Carlton,Dog,Aggressive,Intact Male,8 years
A675352,,Dog,Suffering,Intact Female,6 years
A675353,,Dog,Suffering,Unknown,9 months
A675426,,Cat,Suffering,Intact Female,12 years
A675480,Boots,Cat,Suffering,Intact Male,10 years
A675535,,Cat,Suffering,Spayed Female,1 year
A675554,,Dog,Suffering,Intact Female,3 years
A675577,,Cat,Suffering,Intact Male,1 year
A675597,Gorda,Dog,Aggressive,Spayed Female,1 year
A675638,,Cat,Suffering,Neutered Male,1 year
A675642,,Dog,Suffering,Neutered Male,14 years
A675687,Sintex,Dog,Aggressive,Intact Female,1 year
A675789,*Willis,Dog,Aggressive,Neutered Male,2 years
A675818,Beethoven,Dog,Aggressive,Intact Male,2 years
A675894,Cleopatra,Cat,Suffering,Spayed Female,7 years
A675935,Kane,Dog,Medical,Intact Male,5 years
A676004,Scratch,Cat,Suffering,Intact Female,5 years
A676063,,Cat,Suffering,Unknown,1 year
A676097,Murphy,Dog,Rabies Risk,Intact Male,12 years
A676105,*Munch,Dog,Behavior,Intact Male,2 years
A676108,Orange Cat,Cat,Suffering,Neutered Male,10 years
A676112,Trouble,Dog,Aggressive,Intact Female,1 year
A676122,,Dog,Suffering,Intact Male,8 months
A676127,,Dog,Suffering,Intact Female,2 weeks
A676136,,Cat,Suffering,Intact Male,1 year
A676219,,Cat,Suffering,Intact Male,12 years
A676227,,Cat,Suffering,Neutered Male,12 years
A676231,Spike,Dog,Suffering,Neutered Male,4 years
A676234,,Dog,Aggressive,Intact Female,3 years
A676236,,Dog,Aggressive,Intact Male,3 years
A676242,,Cat,Suffering,Intact Female,3 years
A676345,Parker,Dog,Aggressive,Neutered Male,3 years
A676352,*Byron,Dog,Behavior,Neutered Male,1 year
A676355,*Farley,Dog,Aggressive,Neutered Male,2 years
A676434,*Buddy,Dog,Aggressive,Neutered Male,2 years
A676460,* Mario,Dog,Behavior,Neutered Male,2 years
A676507,,Cat,Rabies Risk,Spayed Female,2 years
A676561,*Leo,Cat,Suffering,Intact Male,1 year
A676571,Apple,Dog,Aggressive,Spayed Female,3 years
A676585,Molly,Dog,Aggressive,Spayed Female,1 year
A676615,Capone,Dog,Aggressive,Intact Male,2 years
A676655,,Cat,Suffering,Neutered Male,5 years
A676661,Callie,Dog,Rabies Risk,Spayed Female,3 years
A676680,Hero,Dog,Aggressive,Spayed Female,2 years
A676724,,Cat,Suffering,Intact Male,14 years
A676735,Oscar,Cat,Suffering,Neutered Male,7 years
A676745,Astro,Dog,Rabies Risk,Neutered Male,2 years
A676750,,Cat,Suffering,Intact Male,1 month
A676794,,Cat,Suffering,Intact Female,1 week
A676912,,Cat,Suffering,Intact Female,1 year
A676916,*Lexie,Dog,Behavior,Spayed Female,3 years
A676926,,Cat,Suffering,Intact Female,4 weeks
A676937,,Cat,Suffering,Intact Female,1 month
A676940,Ace,Dog,Rabies Risk,Intact Male,7 years
A676959,,Cat,Suffering,Intact Female,5 months
A676991,Scrappy,Dog,Suffering,Neutered Male,17 years
A677001,Yeti,Dog,Aggressive,Neutered Male,1 year
A677046,,Cat,Aggressive,Intact Male,2 years
A677088,,Cat,Suffering,Intact Female,1 month
A677131,,Dog,Suffering,Intact Female,2 years
A677139,,Cat,Suffering,Intact Male,3 years
A677143,,Cat,Suffering,Intact Male,2 years
A677199,,Cat,Suffering,Neutered Male,9 years
A677201,*Milton,Dog,Behavior,Neutered Male,2 years
A677222,,Dog,Aggressive,Intact Male,2 years
A677262,,Cat,Suffering,Spayed Female,13 years
A677277,*Pedro,Dog,Aggressive,Intact Male,1 year
A677301,,Cat,Suffering,Intact Male,4 years
A677356,,Cat,Suffering,Intact Female,3 weeks
A677421,,Cat,Suffering,Intact Male,1 year
A677473,,Cat,Suffering,Intact Female,13 years
A677474,Dana,Dog,Suffering,Spayed Female,9 years
A677564,,Cat,Rabies Risk,Intact Male,3 weeks
A677605,Jr,Dog,Suffering,Neutered Male,11 years
A677633,,Cat,Suffering,Unknown,2 weeks
A677720,Zero,Dog,Suffering,Intact Female,2 years
A677749,,Dog,Aggressive,Intact Male,2 years
A677786,Potter,Dog,Behavior,Neutered Male,3 years
A677792,,Cat,Suffering,Intact Female,1 week
A677841,,Cat,Suffering,Unknown,1 month
A677844,Astro,Dog,Suffering,Neutered Male,2 years
A677890,,Cat,Suffering,Intact Female,2 years
A677912,Midnight,Dog,Suffering,Intact Female,16 years
A677918,Buddy,Dog,Aggressive,Neutered Male,7 years
A677943,,Cat,Suffering,Intact Female,3 years
A677944,,Cat,Suffering,Unknown,3 weeks
A677954,Sandy,Dog,Suffering,Intact Female,10 years
A677960,Bungee,Dog,Aggressive,Neutered Male,3 years
A677983,Neo,Dog,Suffering,Neutered Male,2 years
A677997,Rocky,Dog,Behavior,Neutered Male,8 years
A678047,*Abigail,Dog,Medical,Spayed Female,5 years
A678057,Luna,Dog,Suffering,Spayed Female,15 years
A678076,Bo,Dog,Suffering,Neutered Male,12 years
A678099,Spartacus,Dog,Aggressive,Neutered Male,2 years
A678218,Rocky,Dog,Suffering,Neutered Male,11 years
A678266,Sonny,Dog,Aggressive,Neutered Male,1 year
A678276,,Cat,Suffering,Spayed Female,3 years
A678293,,Dog,Suffering,Intact Male,6 years
A678338,Infinity,Cat,Suffering,Intact Female,18 years
A678398,Unique,Dog,Suffering,Intact Female,10 years
A678428,,Dog,Aggressive,Intact Male,1 year
A678433,Roscoe,Dog,Aggressive,Intact Male,2 years
A678485,Money,Dog,Suffering,Intact Male,14 years
A678506,Prec Punkin',Dog,Suffering,Spayed Female,11 years
A678600,,Dog,Suffering,Intact Female,1 year
A678606,Louis,Dog,Suffering,Intact Male,1 month
A678634,Champion,Dog,Behavior,Intact Male,4 years
A678651,*Meg,Cat,Suffering,Spayed Female,10 years
A678663,,Cat,Suffering,Intact Female,1 month
A678691,,Cat,Suffering,Intact Female,6 months
A678778,Cowboy,Dog,Rabies Risk,Neutered Male,12 years
A678788,Doc,Dog,Aggressive,Neutered Male,7 years
A678851,*Olivia,Cat,Suffering,Intact Female,1 month
A678920,Frank,Dog,Aggressive,Intact Male,6 years
A678921,Tiddle Bug,Dog,Suffering,Neutered Male,12 years
A678976,Major,Dog,Aggressive,Intact Male,1 year
A679029,,Dog,Suffering,Intact Male,10 months
A679038,Leona,Cat,Suffering,Intact Female,8 years
A679050,,Cat,Suffering,Unknown,1 month
A679060,,Cat,Suffering,Unknown,2 weeks
A679070,,Dog,Suffering,Neutered Male,11 months
A679091,,Cat,Suffering,Unknown,7 years
A679098,Lola,Dog,Aggressive,Spayed Female,1 year
A679154,Buddy,Dog,Aggressive,Intact Male,5 years
A679165,,Cat,Suffering,Intact Female,1 year
A679167,,Cat,Suffering,Intact Male,4 years
A679212,,Cat,Suffering,Intact Female,2 weeks
A679250,Thor,Dog,Suffering,Neutered Male,8 years
A679271,*Nero,Dog,Aggressive,Neutered Male,5 years
A679298,Debo,Dog,Aggressive,Intact Male,6 years
A679303,,Dog,Suffering,Intact Female,3 years
A679380,,Cat,Suffering,Intact Male,3 years
A679382,,Cat,Suffering,Intact Male,3 weeks
A679396,Blitz,Dog,Aggressive,Neutered Male,3 years
A679419,*Hoppin' Jon,Dog,Aggressive,Neutered Male,2 years
A679458,*Ava,Cat,Suffering,Intact Female,4 weeks
A679459,Major,Dog,Behavior,Neutered Male,3 years
A679486,*Bernice,Cat,Suffering,Spayed Female,10 years
A679525,,Cat,Suffering,Intact Female,10 years
A679529,,Dog,Aggressive,Intact Male,2 years
A679533,Star,Dog,Aggressive,Intact Female,3 years
A679565,Diamond,Dog,Medical,Intact Female,1 year
A679591,*Quinne,Dog,Behavior,Spayed Female,2 years
A679611,,Dog,Aggressive,Intact Male,3 years
A679631,Callie,Cat,Suffering,Spayed Female,12 years
A679645,*Calvin,Dog,Behavior,Neutered Male,1 year
A679655,,Cat,Suffering,Neutered Male,2 years
A679659,,Dog,Suffering,Intact Male,4 weeks
A679678,*Crumbs,Cat,Suffering,Intact Male,1 month
A679680,*Toffee,Cat,Suffering,Intact Male,1 month
A679795,,Cat,Suffering,Intact Male,2 weeks
A679796,James,Cat,Suffering,Intact Male,17 years
A679896,,Cat,Suffering,Intact Female,1 month
A679907,Oliver,Cat,Suffering,Intact Male,1 month
A679939,Tom,Cat,Suffering,Intact Male,2 years
A680016,,Dog,Aggressive,Intact Female,4 years
A680041,,Dog,Suffering,Intact Female,12 years
A680049,,Cat,Suffering,Intact Female,2 months
A680081,Coqueta,Dog,Aggressive,Spayed Female,3 years
A680094,,Cat,Suffering,Unknown,4 weeks
A680095,,Cat,Suffering,Unknown,4 weeks
A680096,,Cat,Suffering,Unknown,4 weeks
A680097,,Cat,Suffering,Unknown,4 weeks
A680127,,Cat,Rabies Risk,Intact Female,1 month
A680158,*Cole,Dog,Behavior,Neutered Male,1 year
A680177,,Dog,Suffering,Intact Male,1 month
A680222,,Cat,Suffering,Unknown,3 days
A680223,,Cat,Suffering,Unknown,3 days
A680235,,Cat,Suffering,Neutered Male,10 years
A680239,,Cat,Suffering,Unknown,2 years
A680257,,Cat,Suffering,Intact Male,2 years
A680290,Chino,Dog,Aggressive,Neutered Male,1 year
A680320,,Cat,Suffering,Unknown,1 month
A680330,,Cat,Suffering,Intact Male,1 month
A680366,*Stacey,Dog,Aggressive,Intact Female,2 years
A680367,Bear,Dog,Rabies Risk,Intact Male,9 years
A680372,,Cat,Suffering,Intact Female,4 weeks
A680373,Kate,Cat,Suffering,Intact Female,1 month
A680501,Blu,Dog,Aggressive,Neutered Male,4 years
A680527,*Shadow,Dog,Behavior,Neutered Male,1 year
A680529,,Cat,Suffering,Intact Male,1 month
A680542,,Cat,Suffering,Intact Male,2 years
A680592,,Cat,Suffering,Intact Male,1 year
A680608,,Cat,Suffering,Unknown,1 month
A680623,Lovely Boy,Cat,Medical,Intact Male,12 years
A680731,Boo Boo,Cat,Suffering,Unknown,10 years
A680751,,Cat,Suffering,Intact Female,6 months
A680763,,Dog,Suffering,Intact Female,1 year
A680767,,Dog,Suffering,Intact Female,2 years
A680779,Casper,Dog,Rabies Risk,Intact Male,3 years
A680780,Mei Mei,Dog,Behavior,Spayed Female,2 years
A680804,,Cat,Suffering,Intact Male,7 years
A680811,,Dog,Suffering,Intact Female,1 year
A680812,,Cat,Suffering,Intact Female,5 months
A680823,,Cat,Suffering,Intact Female,1 month
A680869,*Ponyboy,Cat,Suffering,Intact Male,1 month
A680890,,Dog,Suffering,Intact Female,2 years
A680977,,Dog,Suffering,Intact Female,3 months
A680995,,Cat,Suffering,Unknown,4 weeks
A681001,,Cat,Suffering,Intact Female,10 years
A681005,,Dog,Medical,Intact Female,2 months
A681037,,Dog,Medical,Intact Male,3 years
A681067,*Summer,Dog,Aggressive,Spayed Female,3 years
A681104,,Cat,Suffering,Spayed Female,7 years
A681140,,Cat,Suffering,Unknown,5 months
A681148,Angel,Cat,Suffering,Neutered Male,14 years
A681153,,Cat,Suffering,Intact Male,2 months
A681155,Jeff,Dog,Suffering,Neutered Male,2 years
A681157,,Cat,Medical,Intact Male,1 month
A681229,,Dog,Suffering,Intact Male,1 year
A681234,,Dog,Suffering,Intact Male,10 years
A681273,,Dog,Suffering,Intact Female,2 years
A681307,*Scarlet,Cat,Suffering,Spayed Female,6 years
A681363,,Cat,Suffering,Neutered Male,10 years
A681379,Coffee,Dog,Medical,Intact Male,4 years
A681388,Blue,Dog,Aggressive,Intact Male,1 year
A681431,*Deltadawn,Dog,Behavior,Intact Female,5 years
A681449,Buster,Dog,Aggressive,Neutered Male,4 years
A681541,,Dog,Behavior,Intact Male,2 years
A681593,,Cat,Rabies Risk,Intact Male,4 weeks
A681605,,Dog,Medical,Intact Female,5 years
A681611,,Cat,Suffering,Intact Male,2 months
A681635,,Dog,Suffering,Intact Female,14 years
A681643,,Cat,Suffering,Neutered Male,10 years
A681697,,Cat,Suffering,Intact Male,1 month
A681698,Rocky,Dog,Suffering,Intact Male,1 month
A681701,,Cat,Suffering,Intact Male,3 days
A681707,*Bear,Cat,Suffering,Intact Male,1 month
A681769,Pixie,Dog,Medical,Spayed Female,8 years
A681827,Quincy,Dog,Aggressive,Neutered Male,3 years
A681837,,Cat,Rabies Risk,Intact Male,2 months
A681871,,Cat,Suffering,Intact Female,8 years
A681883,,Cat,Suffering,Neutered Male,10 years
A681899,,Cat,Suffering,Unknown,3 years
A681938,*Martha,Cat,Suffering,Intact Female,2 months
A682020,King,Dog,Behavior,Intact Male,2 years
A682054,Tom,Cat,Suffering,Intact Female,1 month
A682062,,Dog,Suffering,Neutered Male,13 years
A682065,Baby,Cat,Suffering,Intact Female,5 months
A682073,,Dog,Suffering,Intact Female,3 years
A682074,,Dog,Suffering,Intact Female,8 years
A682109,,Cat,Suffering,Intact Male,2 weeks
A682201,*Buzz,Cat,Medical,Neutered Male,3 years
A682248,,Dog,Aggressive,Intact Male,2 years
A682381,Oreo,Dog,Suffering,Intact Female,8 years
A682431,,Cat,Suffering,Unknown,3 months
A682447,,Cat,Suffering,Intact Female,3 months
A682489,,Cat,Suffering,Neutered Male,10 years
A682530,Minnie,Dog,Suffering,Intact Female,14 years
A682539,,Cat,Suffering,Unknown,3 months
A682574,,Cat,Suffering,Unknown,1 month
A682585,,Dog,Suffering,Spayed Female,8 years
A682618,,Dog,Aggressive,Neutered Male,5 years
A682657,,Cat,Suffering,Intact Female,4 months
A682664,*Ocho,Dog,Aggressive,Intact Male,2 years
A682676,Tucker,Dog,Aggressive,Neutered Male,7 years
A682690,,Cat,Suffering,Unknown,1 year
A682707,*Jake,Dog,Aggressive,Intact Male,2 years
A682726,Rocky,Dog,Behavior,Intact Male,1 year
A682769,,Dog,Suffering,Intact Male,5 years
A682772,,Cat,Suffering,Spayed Female,8 years
A682866,,Cat,Suffering,Intact Female,7 years
A682883,Sunshine,Dog,Suffering,Intact Female,12 years
A682891,*Leo,Dog,Suffering,Intact Male,1 year
A682897,Porthos,Dog,Rabies Risk,Neutered Male,3 years
A682912,,Cat,Suffering,Intact Male,6 days
A682922,,Cat,Suffering,Spayed Female,2 years
A682965,,Dog,Suffering,Intact Male,10 years
