,animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
613,A671687,,Dog,Suffering,Female,13 years
929,A680751,,Cat,Suffering,Female,< 1 year
931,A680767,,Dog,Suffering,Female,2 years
964,A681611,,Cat,Suffering,Male,< 1 year
965,A681635,,Dog,Suffering,Female,14 years
966,A681643,,Cat,Suffering,Male,10 years
967,A681697,,Cat,Suffering,Male,< 1 year
968,A681698,Rocky,Dog,Suffering,Male,< 1 year
969,A681701,,Cat,Suffering,Male,< 1 year
970,A681707,*Bear,Cat,Suffering,Male,< 1 year
974,A681871,,Cat,Suffering,Female,8 years
975,A681883,,Cat,Suffering,Male,10 years
976,A681899,,Cat,Suffering,Unknown,3 years
977,A681938,*Martha,Cat,Suffering,Female,< 1 year
946,A681104,,Cat,Suffering,Female,7 years
947,A681140,,Cat,Suffering,Unknown,< 1 year
981,A682065,Baby,Cat,Suffering,Female,< 1 year
982,A682073,,Dog,Suffering,Female,3 years
956,A681363,,Cat,Suffering,Male,10 years
930,A680763,,Dog,Suffering,Female,1 year
955,A681307,*Scarlet,Cat,Suffering,Female,6 years
953,A681234,,Dog,Suffering,Male,10 years
934,A680804,,Cat,Suffering,Male,7 years
937,A680823,,Cat,Suffering,Female,< 1 year
938,A680869,*Ponyboy,Cat,Suffering,Male,< 1 year
939,A680890,,Dog,Suffering,Female,2 years
940,A680977,,Dog,Suffering,Female,< 1 year
941,A680995,,Cat,Suffering,Unknown,< 1 year
979,A682054,Tom,Cat,Suffering,Female,< 1 year
980,A682062,,Dog,Suffering,Male,13 years
19,A325999,Precious,Dog,Suffering,Female,12 years
949,A681153,,Cat,Suffering,Male,< 1 year
952,A681229,,Dog,Suffering,Male,1 year
954,A681273,,Dog,Suffering,Female,2 years
1097,A684875,,Dog,Suffering,Female,< 1 year
612,A671639,,Dog,Suffering,Female,2 years
608,A671541,Buddy,Dog,Suffering,Male,10 years
216,A637451,Panther,Cat,Suffering,Male,5 years
219,A638475,*Bluebird,Cat,Suffering,Female,3 years
220,A638819,Princess,Dog,Suffering,Female,10 years
221,A639771,Lady,Dog,Suffering,Female,11 years
225,A641250,*Rocky,Cat,Suffering,Male,2 years
226,A641887,Franny,Dog,Suffering,Female,9 years
212,A636638,Stella,Dog,Suffering,Female,6 years
227,A641952,Negra,Dog,Suffering,Female,7 years
942,A681001,,Cat,Suffering,Female,10 years
233,A645246,Tyson,Dog,Suffering,Male,2 years
899,A680041,,Dog,Suffering,Female,12 years
249,A649970,*Thallo,Cat,Suffering,Male,5 years
252,A650104,Katie,Dog,Suffering,Female,3 years
253,A650635,,Cat,Suffering,Male,3 years
229,A642867,,Cat,Suffering,Female,2 years
211,A635622,*Quinn,Dog,Suffering,Male,10 years
205,A631224,Gray Scale,Cat,Suffering,Male,15 years
198,A628319,Gringa,Dog,Suffering,Female,9 years
145,A601822,Rabi,Cat,Suffering,Male,4 years
155,A610632,Dottie,Dog,Suffering,Female,6 years
160,A612620,Charlie,Dog,Suffering,Male,7 years
167,A614458,Rex,Dog,Suffering,Male,8 years
170,A615748,Blackie,Dog,Suffering,Male,5 years
177,A618687,Buddy,Dog,Suffering,Male,12 years
948,A681148,Angel,Cat,Suffering,Male,14 years
181,A619170,Golosa,Dog,Suffering,Female,10 years
950,A681155,Jeff,Dog,Suffering,Male,2 years
182,A619269,Princessa,Dog,Suffering,Female,2 years
183,A619960,*Mambo,Cat,Suffering,Male,6 years
284,A661776,,Cat,Suffering,Female,6 years
897,A679939,Tom,Cat,Suffering,Male,2 years
188,A622036,,Cat,Suffering,Male,4 years
194,A625626,Olenta,Dog,Suffering,Female,7 years
195,A625940,,Cat,Suffering,Male,8 years
196,A627950,*Daisy,Dog,Suffering,Female,9 years
256,A651257,,Cat,Suffering,Male,9 years
258,A651657,,Cat,Suffering,Male,5 years
260,A652379,Bubba,Cat,Suffering,Male,4 years
262,A653125,Chiquilin,Dog,Suffering,Male,3 years
334,A664712,,Dog,Suffering,Unknown,< 1 year
337,A664723,,Cat,Suffering,Female,7 years
338,A664740,,Cat,Suffering,Female,< 1 year
340,A664794,,Cat,Suffering,Male,< 1 year
288,A661933,*Nutella,Cat,Suffering,Female,10 years
289,A662427,Polly,Cat,Suffering,Female,7 years
343,A664834,,Dog,Suffering,Female,1 year
347,A664926,,Dog,Suffering,Female,2 years
349,A664944,Fuzzyball,Cat,Suffering,Male,10 years
350,A664945,,Dog,Suffering,Male,10 years
351,A664954,,Cat,Suffering,Male,< 1 year
352,A664977,,Dog,Suffering,Male,4 years
353,A664982,,Dog,Suffering,Female,15 years
354,A664989,,Dog,Suffering,Male,< 1 year
355,A665078,,Cat,Suffering,Female,4 years
333,A664711,,Cat,Suffering,Female,5 years
143,A600617,Gypsie,Cat,Suffering,Female,9 years
332,A664686,Rock,Dog,Suffering,Male,2 years
328,A664475,,Dog,Suffering,Male,2 years
266,A656520,Emily,Cat,Suffering,Female,1 year
345,A664872,,Cat,Suffering,Male,3 years
346,A664924,Frijolito,Dog,Suffering,Male,2 years
20,A334065,Romeo,Dog,Suffering,Male,12 years
21,A335950,Doyle,Dog,Suffering,Male,12 years
24,A346884,Dolly,Dog,Suffering,Female,11 years
134,A594904,Tashi,Dog,Suffering,Male,5 years
302,A663527,Taboo,Cat,Suffering,Female,8 years
310,A663938,,Dog,Suffering,Male,10 years
314,A664042,,Dog,Suffering,Male,2 years
316,A664193,*Carrie,Cat,Suffering,Female,< 1 year
317,A664233,Stevie,Dog,Suffering,Female,3 years
318,A664234,,Dog,Suffering,Male,8 years
322,A664288,,Cat,Suffering,Male,2 years
325,A664329,,Cat,Suffering,Male,< 1 year
326,A664386,,Cat,Suffering,Female,12 years
327,A664459,Miss Kitty,Cat,Suffering,Female,8 years
331,A664683,,Cat,Suffering,Male,4 years
356,A665097,Brittney,Dog,Suffering,Female,7 years
142,A599155,Machete,Dog,Suffering,Male,4 years
23,A337859,Benny,Dog,Suffering,Male,14 years
296,A663324,*Minnie,Cat,Suffering,Female,< 1 year
187,A621845,Dutchess,Dog,Suffering,Female,9 years
25,A358879,Simba,Dog,Suffering,Male,13 years
26,A367012,Miller,Dog,Suffering,Male,11 years
27,A378353,Lyla,Dog,Suffering,Female,10 years
29,A380506,Ruby,Dog,Suffering,Female,12 years
22,A337187,Buster,Dog,Suffering,Male,12 years
30,A383036,Oreo,Cat,Suffering,Male,14 years
32,A427866,Gus,Dog,Suffering,Male,8 years
33,A430501,Rosie,Dog,Suffering,Female,11 years
34,A430671,,Dog,Suffering,Female,8 years
39,A466858,Snowball,Cat,Suffering,Female,8 years
40,A467213,Moon Shadow,Cat,Suffering,Female,8 years
44,A476874,Dolla,Dog,Suffering,Female,9 years
31,A419161,Atom,Cat,Suffering,Male,17 years
185,A620557,Button,Cat,Suffering,Female,13 years
247,A649490,Misty,Cat,Suffering,Female,4 years
936,A680812,,Cat,Suffering,Female,< 1 year
447,A667257,,Dog,Suffering,Female,7 years
141,A598424,Shark,Dog,Suffering,Male,4 years
564,A670354,Buddy,Dog,Suffering,Male,2 years
4,A221327,Jamie,Dog,Suffering,Female,16 years
5,A230482,Dakota Dean,Dog,Suffering,Male,13 years
7,A254503,Daisy,Dog,Suffering,Female,17 years
8,A258441,Spring,Cat,Suffering,Female,14 years
9,A261770,Halo,Cat,Suffering,Male,20 years
10,A268022,China,Dog,Suffering,Female,13 years
13,A283735,Angel,Dog,Suffering,Female,13 years
14,A298677,Polly,Dog,Suffering,Female,13 years
15,A305674,Crystal,Dog,Suffering,Female,12 years
16,A307398,Bacca,Dog,Suffering,Female,13 years
17,A318574,Huey,Cat,Suffering,Male,13 years
18,A318615,Buddy,Dog,Suffering,Male,14 years
46,A482046,Charlie,Dog,Suffering,Male,7 years
49,A489503,Dezi,Cat,Suffering,Female,7 years
50,A490091,Oreo,Dog,Suffering,Female,9 years
51,A491810,Katie,Dog,Suffering,Female,8 years
94,A552202,Delores,Dog,Suffering,Female,9 years
97,A559240,Chikita,Dog,Suffering,Female,19 years
98,A559331,Kat,Cat,Suffering,Male,10 years
102,A562649,,Dog,Suffering,Female,14 years
104,A563397,Braxton,Dog,Suffering,Male,11 years
109,A567057,Rocky,Dog,Suffering,Male,10 years
110,A567323,Tiffany,Dog,Suffering,Female,7 years
112,A568306,Roscoe,Cat,Suffering,Male,9 years
114,A570611,Buster,Dog,Suffering,Male,16 years
115,A575017,Sam,Dog,Suffering,Male,16 years
133,A594492,Trey,Dog,Suffering,Male,9 years
540,A669785,,Cat,Suffering,Male,2 years
80,A542712,Harmony,Cat,Suffering,Female,4 years
91,A550885,Princess,Dog,Suffering,Female,13 years
541,A669811,Quico Kico,Dog,Suffering,Male,7 years
542,A669839,Aurora,Dog,Suffering,Female,4 years
86,A547803,Sheba,Dog,Suffering,Female,17 years
52,A493761,Shorte,Dog,Suffering,Male,13 years
53,A494990,Milo,Dog,Suffering,Male,11 years
54,A496789,Arabella,Cat,Suffering,Female,7 years
59,A507728,Roxie,Dog,Suffering,Female,11 years
60,A508027,Sasha,Dog,Suffering,Female,9 years
61,A509204,Fiona,Dog,Suffering,Female,12 years
64,A520195,Trudy,Cat,Suffering,Female,5 years
65,A522952,Kira,Dog,Suffering,Female,9 years
68,A527094,Onix,Cat,Suffering,Male,10 years
72,A532455,Crumpet,Dog,Suffering,Male,8 years
74,A537149,Lucky,Dog,Suffering,Male,7 years
126,A584516,Scooby,Dog,Suffering,Male,8 years
93,A551669,Salem,Cat,Suffering,Male,7 years
76,A538454,Dolly,Dog,Suffering,Female,8 years
544,A669880,,Cat,Suffering,Female,10 years
90,A548948,Ivory,Dog,Suffering,Female,7 years
357,A665134,Cosita,Dog,Suffering,Female,1 year
358,A665136,,Cat,Suffering,Male,< 1 year
360,A665142,Pascal,Dog,Suffering,Male,13 years
527,A669561,,Dog,Suffering,Male,5 years
528,A669563,Killer,Dog,Suffering,Male,2 years
529,A669576,,Cat,Suffering,Female,8 years
530,A669580,Biscuit,Dog,Suffering,Female,13 years
531,A669603,*Gimpy Cb,Cat,Suffering,Female,< 1 year
535,A669667,,Dog,Suffering,Female,2 years
526,A669556,,Cat,Suffering,Female,< 1 year
536,A669711,Napoleon,Dog,Suffering,Male,17 years
82,A543377,Tasha,Cat,Suffering,Female,6 years
83,A544916,Blue,Dog,Suffering,Male,13 years
117,A576207,,Cat,Suffering,Male,4 years
120,A578097,Juno,Cat,Suffering,Female,6 years
512,A669195,Mimi,Dog,Suffering,Female,12 years
587,A671024,,Cat,Suffering,Female,1 year
546,A669925,Tugga,Cat,Suffering,Male,2 years
386,A665795,,Cat,Suffering,Male,< 1 year
593,A671169,,Cat,Suffering,Female,18 years
525,A669550,,Cat,Suffering,Female,15 years
522,A669461,Kahlua,Dog,Suffering,Female,13 years
519,A669403,,Cat,Suffering,Female,< 1 year
494,A668631,,Dog,Suffering,Male,1 year
495,A668632,,Dog,Suffering,Female,3 years
498,A668726,,Cat,Suffering,Female,1 year
503,A668954,,Cat,Suffering,Unknown,< 1 year
505,A668981,Rudolph,Cat,Suffering,Male,12 years
507,A669086,,Cat,Suffering,Male,2 years
594,A671187,,Dog,Suffering,Male,1 year
563,A670347,Ottis,Dog,Suffering,Male,13 years
511,A669158,,Cat,Suffering,Female,4 years
517,A669367,Tabbie,Cat,Suffering,Male,18 years
499,A668802,,Dog,Suffering,Male,< 1 year
515,A669308,,Dog,Suffering,Female,< 1 year
516,A669326,Turbo,Cat,Suffering,Male,1 year
518,A669371,Mickey,Cat,Suffering,Male,9 years
549,A669966,,Cat,Suffering,Female,< 1 year
513,A669212,,Cat,Suffering,Male,< 1 year
552,A670044,,Cat,Suffering,Male,3 years
590,A671063,*Jake,Cat,Suffering,Male,< 1 year
554,A670092,,Dog,Suffering,Female,5 years
555,A670195,,Cat,Suffering,Female,2 years
588,A671059,,Cat,Suffering,Female,< 1 year
589,A671060,*Jimmy,Cat,Suffering,Male,< 1 year
591,A671157,,Cat,Suffering,Female,< 1 year
500,A668822,,Cat,Suffering,Unknown,< 1 year
1,A214991,Prissy,Cat,Suffering,Female,19 years
560,A670310,*Toney,Cat,Suffering,Male,< 1 year
545,A669884,,Cat,Suffering,Unknown,< 1 year
596,A671248,,Dog,Suffering,Female,2 years
597,A671289,,Cat,Suffering,Male,2 years
599,A671345,Miles,Cat,Suffering,Male,15 years
600,A671380,,Dog,Suffering,Male,10 years
601,A671383,Cj,Cat,Suffering,Male,3 years
602,A671439,Faith,Dog,Suffering,Female,14 years
607,A671488,Whiskers,Cat,Suffering,Female,20 years
586,A670980,,Dog,Suffering,Male,< 1 year
385,A665786,Woodrow,Cat,Suffering,Male,15 years
3,A218624,Cookie,Dog,Suffering,Male,15 years
493,A668626,,Dog,Suffering,Male,3 years
581,A670765,,Dog,Suffering,Female,12 years
579,A670727,,Dog,Suffering,Male,< 1 year
556,A670218,,Dog,Suffering,Female,< 1 year
561,A670328,,Cat,Suffering,Male,1 year
557,A670260,,Dog,Suffering,Female,12 years
476,A668300,,Cat,Suffering,Male,8 years
565,A670358,,Dog,Suffering,Male,2 years
566,A670388,,Cat,Suffering,Male,12 years
568,A670460,,Dog,Suffering,Female,1 year
569,A670468,Cat 1,Cat,Suffering,Female,3 years
571,A670518,Paloma,Dog,Suffering,Female,15 years
572,A670578,,Cat,Suffering,Female,5 years
573,A670595,Grace,Dog,Suffering,Female,16 years
575,A670632,,Cat,Suffering,Male,1 year
577,A670685,,Cat,Suffering,Male,< 1 year
580,A670760,,Dog,Suffering,Male,< 1 year
491,A668575,Zoey Beth,Cat,Suffering,Female,< 1 year
480,A668413,,Cat,Suffering,Male,< 1 year
537,A669728,Mellow,Cat,Suffering,Female,13 years
595,A671227,*Doodlebug,Dog,Suffering,Male,9 years
475,A668252,Fredo,Dog,Suffering,Male,14 years
2,A218622,Oliver,Dog,Suffering,Male,15 years
1704,A699962,,Dog,Suffering,Female,10 years
391,A665963,Evelyn,Cat,Suffering,Female,2 years
392,A666068,,Dog,Suffering,Male,12 years
393,A666083,,Cat,Suffering,Male,< 1 year
395,A666124,,Dog,Suffering,Female,6 years
396,A666156,,Dog,Suffering,Male,9 years
398,A666172,Midnight,Dog,Suffering,Female,2 years
401,A666186,,Cat,Suffering,Female,2 years
403,A666209,Guy,Cat,Suffering,Male,5 years
404,A666253,*Sybil,Dog,Suffering,Female,9 years
406,A666272,,Dog,Suffering,Female,< 1 year
408,A666291,,Dog,Suffering,Female,7 years
384,A665784,Copy Cat,Cat,Suffering,Female,15 years
409,A666314,U,Cat,Suffering,Male,< 1 year
383,A665776,,Dog,Suffering,Male,1 year
382,A665689,,Cat,Suffering,Female,5 years
434,A666905,,Dog,Suffering,Male,2 years
362,A665157,,Cat,Suffering,Male,2 years
364,A665189,,Cat,Suffering,Male,< 1 year
365,A665190,,Cat,Suffering,Male,14 years
368,A665244,Latte,Dog,Suffering,Male,13 years
369,A665252,,Cat,Suffering,Male,< 1 year
370,A665256,Jerry,Cat,Suffering,Male,1 year
372,A665376,,Dog,Suffering,Male,8 years
374,A665444,,Cat,Suffering,Female,< 1 year
375,A665484,,Cat,Suffering,Male,< 1 year
376,A665559,Iggy,Dog,Suffering,Male,10 years
377,A665571,,Cat,Suffering,Male,< 1 year
378,A665640,,Cat,Suffering,Female,< 1 year
379,A665645,,Cat,Suffering,Male,3 years
361,A665152,,Dog,Suffering,Female,< 1 year
435,A666990,,Cat,Suffering,Female,< 1 year
610,A671623,,Cat,Suffering,Male,10 years
449,A667299,,Cat,Suffering,Unknown,1 year
452,A667410,,Dog,Suffering,Female,1 year
453,A667499,,Cat,Suffering,Male,< 1 year
454,A667511,,Cat,Suffering,Female,< 1 year
458,A667543,,Cat,Suffering,Male,6 years
459,A667590,*Mikey,Cat,Suffering,Male,< 1 year
461,A667635,,Cat,Suffering,Unknown,< 1 year
462,A667755,*Nathan,Cat,Suffering,Male,< 1 year
463,A667836,,Cat,Suffering,Male,9 years
464,A667883,,Dog,Suffering,Female,< 1 year
469,A668113,Tiger,Dog,Suffering,Male,9 years
471,A668179,,Dog,Suffering,Male,1 year
472,A668180,,Dog,Suffering,Male,10 years
473,A668196,,Cat,Suffering,Female,5 years
380,A665673,,Cat,Suffering,Male,< 1 year
381,A665685,,Dog,Suffering,Female,2 years
412,A666353,,Cat,Suffering,Female,< 1 year
445,A667225,,Dog,Suffering,Female,9 years
439,A667094,,Dog,Suffering,Male,1 year
414,A666403,Nala,Dog,Suffering,Female,13 years
415,A666404,Sassy,Dog,Suffering,Female,16 years
416,A666407,,Cat,Suffering,Male,< 1 year
417,A666423,,Dog,Suffering,Female,2 years
418,A666489,,Cat,Suffering,Female,< 1 year
419,A666511,,Dog,Suffering,Male,9 years
422,A666536,,Cat,Suffering,Female,< 1 year
423,A666546,Ami*,Cat,Suffering,Female,< 1 year
425,A666611,,Cat,Suffering,Male,12 years
426,A666745,,Cat,Suffering,Male,1 year
427,A666789,Cindy,Dog,Suffering,Female,< 1 year
410,A666319,,Cat,Suffering,Female,8 years
413,A666359,,Dog,Suffering,Female,10 years
428,A666832,*Charlie,Cat,Suffering,Male,< 1 year
389,A665900,*Benjamin,Cat,Suffering,Male,12 years
1720,A700357,,Dog,Suffering,Female,< 1 year
1702,A699942,Tuby,Cat,Suffering,Male,17 years
444,A667206,,Cat,Suffering,Male,2 years
1966,A705979,,Cat,Suffering,Male,10 years
1098,A684897,,Cat,Suffering,Female,1 year
1103,A684976,,Cat,Suffering,Unknown,6 years
1690,A699557,Tortoise,Cat,Suffering,Female,13 years
1692,A699570,Lee,Cat,Suffering,Male,5 years
1693,A699573,,Dog,Suffering,Female,7 years
1695,A699736,Princess,Dog,Suffering,Female,12 years
1696,A699749,,Cat,Suffering,Female,10 years
1697,A699752,K.C.,Dog,Suffering,Unknown,14 years
1689,A699549,,Dog,Suffering,Male,3 years
1698,A699793,,Dog,Suffering,Female,8 years
1701,A699884,,Cat,Suffering,Unknown,2 years
1703,A699957,Lear,Cat,Suffering,Male,10 years
436,A667066,,Dog,Suffering,Female,12 years
390,A665953,,Cat,Suffering,Male,8 years
1708,A700039,,Cat,Suffering,Male,2 years
1710,A700170,Haze,Dog,Suffering,Female,< 1 year
1699,A699827,,Dog,Suffering,Female,< 1 year
1688,A699530,,Cat,Suffering,Female,< 1 year
1687,A699507,,Cat,Suffering,Unknown,2 years
1686,A699502,,Cat,Suffering,Female,1 year
1661,A698635,,Cat,Suffering,Female,< 1 year
1662,A698641,Sampson,Dog,Suffering,Male,10 years
1663,A698692,,Cat,Suffering,Male,2 years
1664,A698697,Daisy,Cat,Suffering,Female,14 years
1665,A698781,Sandy,Dog,Suffering,Female,3 years
1671,A698862,*Pickles,Cat,Suffering,Female,2 years
1672,A698883,,Cat,Suffering,Male,1 year
1675,A699014,,Cat,Suffering,Unknown,< 1 year
1674,A698981,,Cat,Suffering,Female,1 year
1677,A699092,,Cat,Suffering,Male,5 years
1760,A701659,,Cat,Suffering,Female,< 1 year
1758,A701506,,Cat,Suffering,Female,10 years
1683,A699387,Javier,Cat,Suffering,Female,14 years
1684,A699423,,Cat,Suffering,Male,2 years
1685,A699493,,Cat,Suffering,Male,5 years
1715,A700218,,Cat,Suffering,Male,2 years
1717,A700274,,Cat,Suffering,Male,5 years
1719,A700354,,Cat,Suffering,Male,4 years
128,A586273,Midnight,Dog,Suffering,Male,9 years
1748,A701189,Lando,Cat,Suffering,Unknown,3 years
1750,A701292,,Cat,Suffering,Male,13 years
1751,A701305,,Dog,Suffering,Female,1 year
1753,A701338,,Dog,Suffering,Female,13 years
1756,A701394,,Cat,Suffering,Male,2 years
1757,A701404,,Dog,Suffering,Female,14 years
1759,A701572,*Bingo,Dog,Suffering,Male,11 years
1680,A699284,,Dog,Suffering,Male,2 years
1725,A700528,Booboo,Dog,Suffering,Male,14 years
1762,A701693,,Cat,Suffering,Male,2 years
1765,A701757,Alliah,Dog,Suffering,Female,1 year
1766,A701762,,Dog,Suffering,Female,3 years
1767,A701778,Macho,Dog,Suffering,Male,4 years
1769,A701827,Coco,Dog,Suffering,Female,1 year
1771,A701914,,Cat,Suffering,Male,4 years
1746,A701186,,Cat,Suffering,Male,2 years
1660,A698626,*Oscar,Cat,Suffering,Male,12 years
1745,A701161,Annabelle,Cat,Suffering,Female,13 years
1743,A701126,,Cat,Suffering,Unknown,5 years
1721,A700389,,Cat,Suffering,Male,2 years
1722,A700419,,Dog,Suffering,Male,10 years
1724,A700477,,Dog,Suffering,Female,< 1 year
1678,A699136,,Cat,Suffering,Male,6 years
1419,A692535,*Oswald,Cat,Suffering,Female,12 years
1368,A691702,,Cat,Suffering,Unknown,< 1 year
1589,A696708,,Cat,Suffering,Male,8 years
1590,A696716,Biggie,Cat,Suffering,Male,13 years
1733,A700776,,Cat,Suffering,Unknown,< 1 year
1735,A700815,,Cat,Suffering,Male,2 years
1736,A700865,Jasmine,Dog,Suffering,Female,1 year
1737,A700948,,Dog,Suffering,Unknown,9 years
1738,A700984,Minnie,Cat,Suffering,Female,1 year
1740,A701074,,Cat,Suffering,Male,< 1 year
1741,A701110,Bambi,Dog,Suffering,Female,3 years
1744,A701143,,Cat,Suffering,Male,5 years
1658,A698582,,Cat,Suffering,Male,1 year
1657,A698581,Lucky,Dog,Suffering,Male,4 years
1656,A698578,,Cat,Suffering,Female,1 year
3190,A788522,,Cat,Suffering,Female,< 1 year
1586,A696628,,Cat,Suffering,Male,1 year
1588,A696705,,Cat,Suffering,Male,10 years
1551,A695798,Jim,Cat,Suffering,Male,< 1 year
1556,A695944,,Cat,Suffering,Male,4 years
1591,A696721,,Cat,Suffering,Male,1 year
1592,A696735,,Cat,Suffering,Male,2 years
1593,A696752,,Dog,Suffering,Female,2 years
1594,A696760,Chance,Dog,Suffering,Male,3 years
1595,A696795,Talia,Dog,Suffering,Female,13 years
1596,A696858,Olive Oil,Dog,Suffering,Female,< 1 year
1597,A696876,,Cat,Suffering,Unknown,1 year
1600,A696960,,Cat,Suffering,Male,2 years
1601,A696984,,Dog,Suffering,Male,2 years
1602,A696996,,Cat,Suffering,Male,7 years
1584,A696598,,Cat,Suffering,Male,1 year
1603,A697049,*Marigold,Cat,Suffering,Female,1 year
1912,A704775,,Cat,Suffering,Male,3 years
1655,A698574,,Cat,Suffering,Female,2 years
1557,A695954,,Dog,Suffering,Female,5 years
1579,A696517,,Cat,Suffering,Male,2 years
1555,A695935,,Cat,Suffering,Male,2 years
1558,A695971,,Cat,Suffering,Male,6 years
1559,A695984,,Dog,Suffering,Male,< 1 year
1561,A696014,,Dog,Suffering,Male,< 1 year
1562,A696033,,Cat,Suffering,Female,1 year
1567,A696274,,Cat,Suffering,Male,1 year
1571,A696319,,Dog,Suffering,Male,12 years
1572,A696366,,Cat,Suffering,Male,5 years
1575,A696451,,Dog,Suffering,Male,2 years
1576,A696454,*Polar,Dog,Suffering,Male,11 years
1577,A696478,Max,Dog,Suffering,Male,1 year
1581,A696527,,Cat,Suffering,Male,< 1 year
1772,A701957,Sugar,Dog,Suffering,Female,2 years
1582,A696540,*Robbie,Dog,Suffering,Male,5 years
1957,A705826,,Dog,Suffering,Female,< 1 year
1604,A697081,,Cat,Suffering,Male,2 years
1608,A697148,,Dog,Suffering,Male,4 years
1640,A698148,,Cat,Suffering,Male,5 years
1641,A698154,,Dog,Suffering,Male,2 years
1642,A698183,*Eleanor,Dog,Suffering,Female,2 years
1643,A698207,,Cat,Suffering,Male,7 years
1646,A698301,*Angel,Cat,Suffering,Female,2 years
1647,A698329,,Cat,Suffering,Female,3 years
1648,A698354,,Dog,Suffering,Male,10 years
1649,A698365,,Cat,Suffering,Male,2 years
1650,A698431,,Dog,Suffering,Female,2 years
1651,A698473,Oreo,Dog,Suffering,Male,1 year
1652,A698513,,Dog,Suffering,Male,2 years
1654,A698572,Tito,Dog,Suffering,Male,13 years
1638,A698009,Panther,Cat,Suffering,Male,2 years
1639,A698015,Snow,Cat,Suffering,Male,1 year
1552,A695798,Jim,Cat,Suffering,Male,< 1 year
1635,A697897,,Cat,Suffering,Male,3 years
1606,A697103,,Dog,Suffering,Unknown,3 years
1916,A704864,*Artie,Cat,Suffering,Male,< 1 year
1232,A688441,Zee,Cat,Suffering,Female,< 1 year
1610,A697211,,Cat,Suffering,Male,1 year
1611,A697230,Minena,Cat,Suffering,Female,9 years
1612,A697236,Daisy,Dog,Suffering,Unknown,13 years
1614,A697309,Biscuit,Dog,Suffering,Male,< 1 year
1615,A697354,,Cat,Suffering,Male,4 years
1616,A697390,,Dog,Suffering,Male,8 years
1617,A697413,B.J.,Cat,Suffering,Female,2 years
1619,A697473,*Brook,Dog,Suffering,Female,5 years
1620,A697475,Coco,Dog,Suffering,Female,14 years
1621,A697479,,Cat,Suffering,Male,1 year
1624,A697536,,Dog,Suffering,Male,12 years
1625,A697571,Camelia,Dog,Suffering,Female,< 1 year
1955,A705766,,Cat,Suffering,Male,8 years
1915,A704863,*Alistair,Cat,Suffering,Male,< 1 year
1629,A697686,*Remy,Cat,Suffering,Female,8 years
1632,A697807,,Cat,Suffering,Male,2 years
1550,A695788,Percy,Dog,Suffering,Female,5 years
1775,A701998,Danger,Cat,Suffering,Male,12 years
1779,A702079,,Dog,Suffering,Male,7 years
1901,A704538,,Cat,Suffering,Male,7 years
1902,A704629,Ivy,Dog,Suffering,Female,< 1 year
1904,A704682,,Dog,Suffering,Male,2 years
1905,A704700,Tom,Cat,Suffering,Male,2 years
1906,A704729,,Cat,Suffering,Unknown,< 1 year
1907,A704743,,Cat,Suffering,Unknown,< 1 year
1900,A704524,,Cat,Suffering,Female,< 1 year
1908,A704759,,Cat,Suffering,Unknown,10 years
1910,A704764,,Cat,Suffering,Male,2 years
1627,A697596,,Cat,Suffering,Female,< 1 year
1234,A688492,,Dog,Suffering,Female,8 years
1633,A697815,,Cat,Suffering,Male,12 years
1954,A705761,,Cat,Suffering,Unknown,5 years
1914,A704826,,Cat,Suffering,Female,13 years
1886,A704266,,Cat,Suffering,Male,< 1 year
1888,A704297,,Cat,Suffering,Male,< 1 year
1909,A704763,*Welby,Cat,Suffering,Male,< 1 year
1899,A704508,,Cat,Suffering,Male,2 years
1897,A704468,*Ernie,Cat,Suffering,Male,< 1 year
1896,A704465,*Ennis,Cat,Suffering,Male,< 1 year
1874,A704130,Layla,Dog,Suffering,Female,13 years
1875,A704142,,Cat,Suffering,Female,12 years
1877,A704146,,Cat,Suffering,Male,< 1 year
1878,A704152,,Cat,Suffering,Male,2 years
1879,A704198,,Cat,Suffering,Unknown,< 1 year
1880,A704201,,Cat,Suffering,Female,8 years
1882,A704224,,Cat,Suffering,Male,1 year
1887,A704294,,Cat,Suffering,Female,1 year
1884,A704259,,Cat,Suffering,Male,< 1 year
1890,A704370,,Cat,Suffering,Female,12 years
1913,A704791,*Doc,Cat,Suffering,Male,< 1 year
1631,A697797,,Dog,Suffering,Male,2 years
1891,A704372,,Dog,Suffering,Male,2 years
1892,A704374,,Cat,Suffering,Male,6 years
1894,A704443,,Cat,Suffering,Female,2 years
1917,A704877,,Cat,Suffering,Male,1 year
1918,A704885,Precious,Dog,Suffering,Unknown,< 1 year
1920,A704935,,Dog,Suffering,Female,14 years
1921,A704942,,Dog,Suffering,Female,< 1 year
1950,A705655,,Cat,Suffering,Male,< 1 year
1951,A705656,*Rasberry,Cat,Suffering,Female,< 1 year
1952,A705657,,Cat,Suffering,Female,< 1 year
1953,A705713,,Dog,Suffering,Male,< 1 year
1956,A705816,,Dog,Suffering,Unknown,4 years
1628,A697613,,Cat,Suffering,Female,8 years
1958,A705830,,Cat,Suffering,Male,2 years
1824,A702883,Bubush,Cat,Suffering,Male,18 years
1934,A705264,,Cat,Suffering,Female,1 year
1961,A705857,,Cat,Suffering,Male,< 1 year
1962,A705866,,Cat,Suffering,Female,1 year
